dptf rindffa key:  0 0 0
sjsi tdnbbbw key:  5 9 0
zpjf fshreok key:  6 9 0
sqpy tuxaube key:  7 9 0
mbqq zsajerz key:  8 9 0
hqby vjihyah key:  9 9 0
hrqj spaxdjy key:  10 9 0
vdra uqburhv key:  11 9 0
vdda gbuwgxy key:  12 9 0
yudo pqqiaup key:  13 9 0
cuuo arkwnwi key:  14 9 0
ysul ldoycis key:  15 9 0
mxse adjljwz key:  16 9 0
lsxl wuhecys key:  17 9 0
trsj buyxqlm key:  18 9 0
lyrr hsheseh key:  19 9 0
fayx gxeqxxh key:  20 9 0
wyar hswuaev key:  21 9 0
kiyn crduxqv key:  22 9 0
eeib pyoibuy key:  23 9 0
zneu padinuc key:  24 9 0
hcnw lyxwniy key:  25 9 0
tuzo olgsotm key:  0 10 0
lpuf kmeehdf key:  1 10 0
wapx ednqose key:  2 10 0
tyar hzvrzef key:  3 10 0
keyb cunhxqr key:  4 10 0
baex zpcrbrj key:  5 10 0
znau uadzyhh key:  6 10 0
kwnz zyxsgrq key:  7 10 0
rbwq xebuyzv key:  8 10 0
qnbu eakcwsi key:  9 10 0
plnm pnbizut key:  10 10 0
czls dwtlncl key:  11 10 0
bjzi lbcotiw key:  12 10 0
cxje bnjbjlt key:  13 10 0
jwxz flgasok key:  14 10 0
sxwe tzyoubb key:  15 10 0
mmxp vjwjeaz key:  16 10 0
fqmy fxitdok key:  17 10 0
erqj swaxujr key:  18 10 0
firn oxujrtq key:  19 10 0
rciw gmizhxp key:  20 10 0
jicn sqqcajc key:  21 10 0
hlim xrvyrzb key:  22 10 0
qmlp diodwcc key:  23 10 0
vdma wcqttyj key:  24 10 0
izds kitdqds key:  25 10 0
uxhe uqvzyhu key:  0 11 0
lexb ickegvi key:  1 11 0
ikev xqbpkzj key:  2 11 0
qykr hhklwei key:  3 11 0
fpyf yxpsxps key:  4 11 0
czps betlmle key:  5 11 0
lizn ekdesss key:  6 11 0
pxie byshzla key:  7 11 0
lyxr hpwesec key:  8 11 0
bjyi uzcvxhw key:  9 11 0
eyjr hiwdgeu key:  10 11 0
fwyz ixdaxvl key:  11 11 0
ecww kykpkdi key:  12 11 0
aicn vjdboaq key:  13 11 0
rciw yypldpf key:  14 11 0
shct twncmbc key:  15 11 0
ulhm bcurell key:  16 11 0
iqly disdscp key:  17 11 0
jkqv zcabtrl key:  18 11 0
ipkf khwyydb key:  19 11 0
smpp tlgbobe key:  20 11 0
epmf wqbteyf key:  21 11 0
sqpy tknhqbe key:  22 11 0
acqw opareta key:  23 11 0
cqcy umehhhr key:  24 11 0
whqt zpavgrs key:  25 11 0
brjj jncxqkt key:  0 12 0
ferb rxuaffj key:  1 12 0
awez geeopxp key:  2 12 0
wiwn vjmsaay key:  3 12 0
phit frlydok key:  4 12 0
uehb eeowusc key:  5 12 0
yjei wwujzyw key:  6 12 0
pkjv aiidqwp key:  7 12 0
bskl shcacjm key:  8 12 0
jjsi keeyrdw key:  9 12 0
wwjz vjhqoab key:  10 12 0
pmwp wkqadyf key:  11 12 0
demb csntqqa key:  12 12 0
ojei vjurbaw key:  13 12 0
zgjh owevdtp key:  14 12 0
wvgg zmxahru key:  15 12 0
tbvq ieuyyvy key:  16 12 0
jebb vjvpkap key:  17 12 0
paex wgbwdyb key:  18 12 0
ymap yvpyqpj key:  19 12 0
kjmi abutmww key:  20 12 0
csjl weescyp key:  21 12 0
wnsu oasaqtd key:  22 12 0
pxne emhyhso key:  23 12 0
mexb vjekzaz key:  24 12 0
wjei wsvfdyw key:  25 12 0
sjai tvfmebw key:  0 13 0
kqjy zbuwery key:  1 13 0
yqqy qcaaymp key:  2 13 0
inqu aaawlwd key:  3 13 0
ysnl vjbycao key:  4 13 0
mpsf aqzkdwz key:  5 13 0
hspl wqhfcye key:  6 13 0
crsj jnuxqkt key:  7 13 0
vdra rshhffp key:  8 13 0
xxde gpeopxs key:  9 13 0
wuxo usmyahs key:  10 13 0
ltuc frlegok key:  11 13 0
letb wdoeuyy key:  12 13 0
fyer hxkjqei key:  13 13 0
nyyr huiwxey key:  14 13 0
yiyn stelxjm key:  15 13 0
wfik aedwrwh key:  16 13 0
ysfl bydqclc key:  17 13 0
pesb ayquswv key:  18 13 0
dsel cihdcqx key:  19 13 0
ojsi pfwibuw key:  20 13 0
zgjh kshgndl key:  21 13 0
evgg lexaoil key:  22 13 0
tbvq nsjbjgf key:  23 13 0
pcbw vjnbvan key:  24 13 0
sacx tgyrdby key:  25 13 0
wftk bkfmtlo key:  0 14 0
xyfr hlgksea key:  1 14 0
neyb qlgfxms key:  2 14 0
ttec jtwvlkx key:  3 14 0
lftk rfdeffu key:  4 14 0
eafx iyzgpvr key:  5 14 0
nyar hempker key:  6 14 0
kcyw ntlzxgx key:  7 14 0
pfck yfpzvpn key:  8 14 0
xnfu xadgmzl key:  9 14 0
qjni xyfmwzw key:  10 14 0
qtjc ncsbwgx key:  11 14 0
izts qftavmn key:  12 14 0
szzs tntglbt key:  13 14 0
npzf vjfmeal key:  14 14 0
dqpy ntzodge key:  15 14 0
ofqk qzabvmn key:  16 14 0
agfh fzuhlok key:  17 14 0
svgg tpfmubp key:  18 14 0
xhvt uqzjehx key:  19 14 0
uqhy qfiygmq key:  20 14 0
rtqc sgagljq key:  21 14 0
rktv wvkcryi key:  22 14 0
xlkm nhzcqgs key:  23 14 0
nllm dqqlvcn key:  24 14 0
ltlc dteetcd key:  25 14 0
wvgg fbopkok key:  0 15 0
crvj ckkxuqi key:  1 15 0
terb ywpjbpa key:  2 15 0
zxee ggilmxm key:  3 15 0
maxx svxvajz key:  4 15 0
jbaq brsqrlu key:  5 15 0
krbj ieoxsvb key:  6 15 0
fmrp cxqpkqd key:  7 15 0
pnmu gawtbxo key:  8 15 0
zinn ybpkapm key:  9 15 0
ejii orxfmtw key:  10 15 0
abjq jmoqhkc key:  11 15 0
tcbw rnsafft key:  12 15 0
mhct civdpqz key:  13 15 0
uahx vjmobam key:  14 15 0
zraj kblxddj key:  15 15 0
kkrv fcxqook key:  16 15 0
ibkq ghusuxf key:  17 15 0
anbu canjaqp key:  18 15 0
mpnf erirbsz key:  19 15 0
zhpt skoyzje key:  20 15 0
urhj zbxxrra key:  21 15 0
bbrq wnchyyt key:  22 15 0
dkbv gpqvqxm key:  23 15 0
owkz uhboahu key:  24 15 0
mgwh ireqgvz key:  25 15 0
hrnj fdjxjok key:  0 16 0
tzrs bntbult key:  1 16 0
vdza guyjsxr key:  2 16 0
sadx tnioabt key:  3 16 0
tuao srwzejh key:  4 16 0
kquy fzoorok key:  5 16 0
eaqx xdauuzv key:  6 16 0
qnau faqjwok key:  7 16 0
kcnw puiiuum key:  8 16 0
hzcs sqtjnjq key:  9 16 0
rnzu laiqrih key:  10 16 0
vdna snjcjjt key:  11 16 0
tldm ccqurqv key:  12 16 0
iulo dzyobcs key:  13 16 0
zaux pnqitut key:  14 16 0
lpaf fdxenok key:  15 16 0
kbpq llgouie key:  16 16 0
tybr hujjjeq key:  17 16 0
rnyu faihxok key:  18 16 0
tanx spycujh key:  19 16 0
hlam ubdjrhr key:  20 16 0
kalx dyiugcv key:  21 16 0
vdaa snqztjt key:  22 16 0
kndu pakirui key:  23 16 0
muno xlgonzz key:  24 16 0
qnuu laqlwil key:  25 16 0
tskl ehmocsa key:  0 17 0
tksv xildzzm key:  1 17 0
qakx fhhvwok key:  2 17 0
baax kkcqudu key:  3 17 0
kzas istjova key:  4 17 0
kwzz ckipkqf key:  5 17 0
hnwu sanvbja key:  6 17 0
znnu yaprrpu key:  7 17 0
vdna izxvmvy key:  8 17 0
dbdq zwqpkru key:  9 17 0
oubo inswyvt key:  10 17 0
yguh ynppkpt key:  11 17 0
jvgg adbomwq key:  12 17 0
rsvl ybpocpb key:  13 17 0
tmsp fuscmok key:  14 17 0
clmm fghtuok key:  15 17 0
aalx dvsjuch key:  16 17 0
mxae osijttz key:  17 17 0
khxt smiuhjv key:  18 17 0
urhj slgxrjd key:  19 17 0
anru paviruo key:  20 17 0
fknv gxqknxy key:  21 17 0
ahkt lhqfaij key:  22 17 0
uihn jrjwjkr key:  23 17 0
yhit rnosfft key:  24 17 0
ukhv akyzpwc key:  25 17 0
lqry uulerho key:  0 18 0
dkqv geakgxl key:  1 18 0
oykr hhqfaeh key:  2 18 0
pgyh jrkbxki key:  3 18 0
hvgg rqouffv key:  4 18 0
sjvi tkdlpbw key:  5 18 0
vdja pymieua key:  6 18 0
tqdy bglanlm key:  7 18 0
duqo lvavsis key:  8 18 0
oaux vjjqjau key:  9 18 0
lgah idwedvl key:  10 18 0
kvgg cqypkqd key:  11 18 0
eyvr huubbeo key:  12 18 0
znyu yapkxpp key:  13 18 0
scnw tgxfmbh key:  14 18 0
dbcq jvdyeks key:  15 18 0
oqby rysuffv key:  16 18 0
lgqh wnaepyt key:  17 18 0
hvgg pcmiqud key:  18 18 0
iyvr hbloneo key:  19 18 0
vdya lqekxil key:  20 18 0
wpdf fgjfjok key:  21 18 0
aupo jvdbuke key:  22 18 0
meub ryyjffz key:  23 18 0
shet tdihpbs key:  24 18 0
urhj spmxejd key:  25 18 0
muqo suayojz key:  0 19 0
caux vjboraf key:  1 19 0
araj wdnxdyh key:  2 19 0
kxre fqqrqok key:  3 19 0
chxt guuuuxv key:  4 19 0
unhu zaejarp key:  5 19 0
wxne priiyuh key:  6 19 0
fkxv sxoynjs key:  7 19 0
tekb lhburiv key:  8 19 0
lien wnjejyt key:  9 19 0
faix pxqiqum key:  10 19 0
cyar hkyonec key:  11 19 0
kiyn leeqxia key:  12 19 0
wxie fijdjok key:  13 19 0
pnxu cadvuqc key:  14 19 0
tenb kyyjbdu key:  15 19 0
zjei iiidovw key:  16 19 0
fajx sxxpkjf key:  17 19 0
hbaq knnardt key:  18 19 0
kibn yepropl key:  19 19 0
vdia vjqomaf key:  20 19 0
pndu zanbdrc key:  21 19 0
huno fbsryok key:  22 19 0
sjui tiudubw key:  23 19 0
vdja zdbjerp key:  24 19 0
tqdy kniaydt key:  25 19 0
yxqe xqagazr key:  0 20 0
qzxs artlwwd key:  1 20 0
xszl ncozcgo key:  2 20 0
izss bqtkvln key:  3 20 0
ftzc xxhfszs key:  4 20 0
qptf jzfmwkm key:  5 20 0
lipn rsweffe key:  6 20 0
nzis qztqpms key:  7 20 0
eyzr htmhlec key:  8 20 0
lfyk cplexqq key:  9 20 0
rcfw uizdbhy key:  10 20 0
zycr hzdcgeq key:  11 20 0
rlym kyxwxdx key:  12 20 0
yblq dfkcoci key:  13 20 0
xlbm acdgtwf key:  14 20 0
isll dynlccq key:  15 20 0
rtsc nlgrtgl key:  16 20 0
dptf bbhcvln key:  17 20 0
olpm zlgbsre key:  18 20 0
nglh dsfmycl key:  19 20 0
svgg ttwhtbr key:  20 20 0
mfvk qpbbemz key:  21 20 0
eqfy ulgzlhr key:  22 20 0
srqj tgaxgby key:  23 20 0
ccrw xvzzezx key:  24 20 0
qqcy gfkwwxi key:  25 20 0
yzjs oktostj key:  0 21 0
nxze amwahwa key:  1 21 0
csxl ftwscok key:  2 21 0
efsk vjvvuay key:  3 21 0
exfe ezhjdsu key:  4 21 0
fcxw ixiwzvj key:  5 21 0
yccw ssupkjx key:  6 21 0
bicn afcsrwp key:  7 21 0
fsil yxpgcpq key:  8 21 0
rwsz ecqymsc key:  9 21 0
iiwn nchczgy key:  10 21 0
ilim wisdvyn key:  11 21 0
bplf dscwqcc key:  12 21 0
yppf kwfmtde key:  13 21 0
twpz aiedowe key:  14 21 0
wswl qlghcmf key:  15 21 0
jasx kpnhldy key:  16 21 0
aeab uphrohb key:  17 21 0
kmep uwzwghf key:  18 21 0
yhmt zsntgrr key:  19 21 0
unhu aakrywi key:  20 21 0
jsnl oekzcti key:  21 21 0
xksv zmblhrb key:  22 21 0
pmkp xhhlyzy key:  23 21 0
qtmc bnvtwlt key:  24 21 0
cjti bsbwslw key:  25 21 0
cvgg otlvyty key:  0 22 0
bfvk zmcwhru key:  1 22 0
yxfe inbwyvt key:  2 22 0
ywxz agvpkwq key:  3 22 0
rswl avbocwx key:  4 22 0
cssl yfpccpj key:  5 22 0
flsm fxhgmok key:  6 22 0
cxle dwhsucd key:  7 22 0
dixn nssjtgo key:  8 22 0
oxie esikvsn key:  9 22 0
jgxh slgfzjc key:  10 22 0
fvgg jxfmrkb key:  11 22 0
bmvp ricdffy key:  12 22 0
fimn qxqtpmy key:  13 22 0
awiz kgmwldr key:  14 22 0
yiwn ovlwotc key:  15 22 0
yhit amzzhwf key:  16 22 0
ushl aindcwc key:  17 22 0
tssl xwvrczd key:  18 22 0
qksv kihdwdo key:  19 22 0
xakx zhhkorj key:  20 22 0
jzas kstfydf key:  21 22 0
ktzc jsnsokb key:  22 22 0
dmtp rkbrfff key:  23 22 0
onmu eantpsa key:  24 22 0
ngnh zzmrzry key:  25 22 0
mbfq ilgcyvz key:  0 23 0
mlbm blgpklz key:  1 23 0
jrlj debxscx key:  2 23 0
trrj yfpxtpb key:  3 23 0
pmrp gbwgmxr key:  4 23 0
camx glgtaxr key:  5 23 0
ejai nrszagw key:  6 23 0
kxje orozvtn key:  7 23 0
mcxw xmoahzz key:  8 23 0
qncu xafmwzr key:  9 23 0
qrnj vjvxwam key:  10 23 0
fzrs qxtzdmm key:  11 23 0
azzs gctqlxj key:  12 23 0
iizn xnuqazt key:  13 23 0
qhit crzswqp key:  14 23 0
uphf czoobqc key:  15 23 0
zzps eztybse key:  16 23 0
zkzv fixdzok key:  17 23 0
xbkq whxhuym key:  18 23 0
bbbq kpcjqdq key:  19 23 0
rtbc uziqohq key:  20 23 0
rwtz skecgjf key:  21 23 0
wlwm cbncrqa key:  22 23 0
nllm dbkrbci key:  23 23 0
zelb dtqvtcq key:  24 23 0
rfek zwxltru key:  25 23 0
ughh xvipkzm key:  0 24 0
qvgg sikdwji key:  1 24 0
dkvv yepqrpm key:  2 24 0
ozks khtlmdd key:  3 24 0
pgzh cgqqoqo key:  4 24 0
hvgg bvskblf key:  5 24 0
zjvi cknfsqw key:  6 24 0
vdja jzxrbka key:  7 24 0
zbdq rgwaffd key:  8 24 0
tubo zvxvpro key:  9 24 0
ebuq vjmkyau key:  10 24 0
aabx idlfdvq key:  11 24 0
rcaw jbbpkkd key:  12 24 0
khct ruucffo key:  13 24 0
ulhm ybpkppp key:  14 24 0
cnlu damfmch key:  15 24 0
mknv jclytkz key:  16 24 0
ixke rhsuffv key:  17 24 0
mrxj wlgxpyz key:  18 24 0
dprf pnmiqut key:  19 24 0
orpj gklxnxe key:  20 24 0
fgrh lxeoaia key:  21 24 0
wvgg grjhjxr key:  22 24 0
aivn fpovaok key:  23 24 0
deib uryzuhu key:  24 24 0
ohet igojgvc key:  25 24 0
nrtj jvkxrki key:  0 25 0
lxre rtdeffs key:  1 25 0
nfxk gyqlpxl key:  2 25 0
lyfr htmeaed key:  3 25 0
tfyk brlbxlo key:  4 25 0
fyfr hxoksex key:  5 25 0
sayx tfdfxbl key:  6 25 0
tian jywgekx key:  7 25 0
kqiy rfdbffm key:  8 25 0
eaqx nyagpgc key:  9 25 0
snau tamqvbn key:  10 25 0
kcnw nildegl key:  11 25 0
dqcy cqfmvqn key:  12 25 0
onqu kaabbdl key:  13 25 0
zgnh qnfmomt key:  14 25 0
svgg tcxblbf key:  15 25 0
ibvq qqnoems key:  16 25 0
sqby tnzrlbt key:  17 25 0
lpqf fgaeeok key:  18 25 0
dqpy zvzoure key:  19 25 0
oyqr hbajyes key:  20 25 0
xgyh fqihxok key:  21 25 0
lvgg spbeujd key:  22 25 0
xtvc uqdjrho key:  23 25 0
mytr hyikgez key:  24 25 0
ctyc sgqfxjs key:  25 25 0
zijn nbizdgc key:  0 0 1
twiz sqxavjn key:  1 0 1
tbwq xiudrzc key:  2 0 1
qabx vjfmwap key:  3 0 1
maax kiqdddz key:  4 0 1
kzas qwtyoms key:  5 0 1
krzj kbuxldf key:  6 0 1
lnru waneoyp key:  7 0 1
jnnu gazrqxf key:  8 0 1
tynr hznyaeb key:  9 0 1
mmyp zrerxrz key:  10 0 1
wamx wnotyyt key:  11 0 1
xraj zndxqrt key:  12 0 1
kerb oyboytq key:  13 0 1
rtec gmeohxm key:  14 0 1
wntu fabcaok key:  15 0 1
clnm frvquok key:  16 0 1
nelb deojucl key:  17 0 1
cxee ctijtqj key:  18 0 1
pfxk snibbjt key:  19 0 1
zxfe slgsrjm key:  20 0 1
sjxi texorbw key:  21 0 1
fbjq exqqesx key:  22 0 1
pqby ffqazok key:  23 0 1
fiqn cxaguqr key:  24 0 1
bjii vjcjbaw key:  25 0 1
ncnw pcsipuh key:  0 1 1
ikcv ztmbnrj key:  1 1 1
hfkk lhluyiv key:  2 1 1
spff tnjsjbt key:  3 1 1
vdpa pcbieue key:  4 1 1
iqdy ekyonsx key:  5 1 1
auqo lfahzia key:  6 1 1
cpuf fpjgjok key:  7 1 1
bhpt udcvuhe key:  8 1 1
uxhe nqyjggu key:  9 1 1
dwxz iuihvvn key:  10 1 1
okwv spkpkji key:  11 1 1
hgkh uhfmrhh key:  12 1 1
fvgg yxplgps key:  13 1 1
vdva qwqummv key:  14 1 1
lidn bkkelli key:  15 1 1
huio pgsisua key:  16 1 1
jyur hvzlnec key:  17 1 1
vdya ldwvxib key:  18 1 1
tmdp bijdjlu key:  19 1 1
eumo iudtsvd key:  20 1 1
xaux kyypkdo key:  21 1 1
acaw odwkoth key:  22 1 1
ktcc ympfhpf key:  23 1 1
ehtt junumkv key:  24 1 1
unhu ravrffl key:  25 1 1
rjdi rueqffw key:  0 2 1
wujo xlgcpzm key:  1 2 1
qlum cbmawqh key:  2 2 1
melb ddlqbcz key:  3 2 1
zzes vjtutav key:  4 2 1
arzj cuxxdqr key:  5 2 1
mbrq plgibuz key:  6 2 1
zhbt geuznxh key:  7 2 1
urhj lzxxaip key:  8 2 1
pbrq xrjujzv key:  9 2 1
qkbv gboywxr key:  10 2 1
djki phyiauw key:  11 2 1
ozjs wrtznyq key:  12 2 1
rgzh lboaqim key:  13 2 1
mvgg xkjcjzz key:  14 2 1
qlvm vjeqwaa key:  15 2 1
wrlj dzyxdcm key:  16 2 1
mzrs cgtvtqz key:  17 2 1
hezb gvuqbxu key:  18 2 1
zrej ilgxavp key:  19 2 1
vdra crxpkqq key:  20 2 1
rbdq gzoybxd key:  21 2 1
zubo yepcapo key:  22 2 1
hlum wrxkmyr key:  23 2 1
pblq ddofqcm key:  24 2 1
vdba jbsztkq key:  25 2 1
oqqy qfapkmc key:  0 3 1
xgqh neaglgq key:  1 3 1
rvgg yipdvpn key:  2 3 1
ptvc nqzcmgr key:  3 3 1
dltm kqfmvdn key:  4 3 1
ojli dgszocw key:  5 3 1
ngjh qvfmtmf key:  6 3 1
xvgg xtnalzs key:  7 3 1
qfvk qlgrwms key:  8 3 1
ltfc vjzelad key:  9 3 1
lzts zgtedro key:  10 3 1
ayzr hvzkyex key:  11 3 1
nyyr hfufxer key:  12 3 1
xhyt jtbgxkp key:  13 3 1
ufhk rzdzffd key:  14 3 1
xtfc nydypgo key:  15 3 1
cktv xymkvzn key:  16 3 1
qtkc whlfwyx key:  17 3 1
nxte jffmqkq key:  18 3 1
rzxs rttgffl key:  19 3 1
